AssetType,GuardName,GuardAddress,Description
0,ERC20Guard,0x24f6BE264E30c6eddafd4E3e45c8770423a8208f,ERC20 tokens
2,SushiLPAssetGuard,0xF291D94C6DE82D67655170dFE90D16204a4b4EBf,Sushi LP tokens
3,AaveLendingPoolAssetGuard,0x4eda65fD78adC4447B827e292fd996fDF2AF3E24,Aave Lending Pool
4,LendingEnabledAssetGuard,0x275937Ef9264FF482b0Ae68d46A94D3F6203c3D9,Lending Enabled Asset tokens
5,QuickLPAssetGuard,0x018338bFd3FdB1915d823a77248F43dE00B54BB7,Quickswap LP tokens
