contractAddress,guardName,guardAddress,description
0xb8888ea29e2f70ad62a3b69b1a1342720612a00d,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
0x330C3C1E493a95bf45bC0147c5F68d983A9d4E00,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x1d87cee5C2F88B60588dD97E24D4B7c3d4f74935,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x14d60F07924e3a7226DDD368409243eDF87e6205,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x3988513793bCE39f0167064A9F7fC3617FaF35AB,EasySwapperGuard,0x476eE8b22ab667720AE5Df709f87130BBa44a06C,Dhedge EasySwapper - allows access to toros pools
0xB0D502E938ed5f4df2E681fE6E419ff29631d62b,StargateRouterContractGuard,0x37776D08A5121a9CEC7C7E4c433Fe9344EB84C49,Stargate Router Contract Guard
0x4DeA9e918c6289a52cd469cAC652727B7b412Cd2,StargateLpStakingContractGuard,0x6DE2a40897a0aE21AFf9b1D0d7688bA7D56785eE,Stargate Lp Staking Contract Guard
0x9ce88a56d120300061593ef7ad074a1b710094d5,ArrakisV1RouterStakingGuard,0xA382E11AD946ea5b0641C4A41bCc7d95a3f563CB,Arrakis V1 Router Staking Guard
0xB30EAC66C790178438667aB220C98Cc983D77383,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x8C339Cd8E99cDd2fE691d4Fc1feECf78187D6B63,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xA997BD647AEe62Ef03b41e6fBFAdaB43d8E57535,SynthRedeemerContractGuard,0x770351F796a448F88fF94638A462ecD1599b3636,Synth Redeemer guard
0xDFc1eCf1Dcb82B1daeA91fdDA2023973447c4309,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x89C1a33011Fab92e497963a6FA069aEE5c1f5D44,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xEF9A5fF5d3057d539543Bc223efCcbc2168b19D6,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x1d8867B65C90DD7B40760A693e309d6CB467947a,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xcdbda6a6bA0457CC5e3f17Faee0be0F72053Fb5c,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x7dd032B7f6Cc924110cB3ceB0aE4338376E7d31d,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3NonfungiblePositionGuard,0x6bD05E330A3a2865f90C9863De392e31FD230bD3,Uniswap V3 Nonfungible Position contract
0x871f1AA4a607B2f7a62971b95840adD41E6A5d45,VelodromeGaugeContractGuard,0xb87613327712BaaE4490876EFf657f310252105f,VelodromeGaugeContractGuard
0x62BdB9544A14DcD8804F7F2cc1479C82Fb36c2A6,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
0xdf50C6111f45132A1Db5Ec48Bdcd1E8E6c7ce65D,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
0xE140E5deF72fdE807890d89EE4f987D316c25196,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
0x310b18dAa9d351062c6D2eC0F0411D327206b4C3,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
0x57A2b0B2bB1E21FCb2DF358FC832ae3f9f535b48,ArrakisLiquidityGaugeV4ContractGuard,0x794BC23E04aA3D3d7403e60e177a76DC5198e344,ArrakisLiquidityGaugeV4ContractGuard
