contractAddress,guardName,guardAddress,description
0x925a2A7214Ed92428B5b1B090F80b25700095e12,AaveLendingPoolGuardV3,0x1293a6A6C02966a9b4C278Bd4D276fbF40A451CD,Aave V3 Lending Pool contract
0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,KyberSwapRouterV2ContractGuard,0xD990017853a0B2925ef234e8E41fa52f423E83F1,KyberSwap V2 Router
0x888888888889758F76e7103c6CbF23ABbF58F946,PendleRouterV4PlasmaContractGuard,0x992014237432027011c1C62Fc494dFE859feC989,Pendle Router V4
0x3Ef3D8bA38EBe18DB133cEc108f4D14CE00Dd9Ae,AngleDistributorContractGuard,0x4E90fFD61498B4E5dd8bF6F1e6ab5236a182201F,Angle Protocol Distributor - claim rewards
