assetType,guardName,guardAddress,description
0,ERC20Guard,0x9bdefbbad25f2f318Ca631C138Af87a8D60Ab0d9,ERC20 tokens
1,ERC20Guard,0x9bdefbbad25f2f318Ca631C138Af87a8D60Ab0d9,ERC20 tokens
6,ERC20Guard,0x9bdefbbad25f2f318Ca631C138Af87a8D60Ab0d9,ERC20 tokens
11,LyraOptionMarketWrapperAssetGuard,0x24c03Ff2d3E19CfDcf4F2ad796d970bA83b6536c,Lyra OptionMarketWrapper Asset
100,LyraOptionMarketWrapperAssetGuard,0x8e03E4ECC28633035c15a8f3fD3aec4c1a03260c,Lyra OptionMarketWrapper Asset
