contractAddress,guardName,guardAddress,description
0x1111111254EEB25477B68fb85Ed929f73A960582,OneInchV5Guard,0xFeF15116DcdB396932dcBD7D635B35f292C525C5,OneInch V5 Router
0xE10Ed1E5354eEd0F7C9D2e16250ba8996C12db7A,EasySwapperGuard,0x4DEfb40ea23ca2eFF1a9Ac4f98a8A5F138f57795,Dhedge EasySwapper - allows access to toros pools
0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroExContractGuard,0x86837253574f52DF2C2338a9e9dD9478F9840B0F,ZeroEx Exchange Proxy
0x0A2AF931eFFd34b81ebcc57E3d3c9B1E1dE1C9Ce,SynthetixV3PerpsMarketContractGuard,0x227B5A2aaE1403B2382E24c425e64726712B6293,Synthetix V3 Perps Market
0x32C222A9A159782aFD7529c87FA34b96CA72C696,SynthetixV3ContractGuard,0xf04bFbaC6bD8799a091e65Cc9b6f95627cf22472,Synthetix V3 Core
0x18141523403e2595D31b22604AcB8Fc06a4CaA61,SynthetixV3SpotMarketContractGuard,0x4FdF868B5372b3952b98aEda7478Da6f925d892F,Synthetix V3 Spot Market
