contractAddress,guardName,guardAddress,description
0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2,AaveLendingPoolGuardV3,0x346C65ac2EEfC0a6F84B1B1e96BE006e5e93005e,Aave V3 Lending Pool contract
0xCf5540fFFCdC3d510B18bFcA6d2b9987b0772559,OdosV2ContractGuard,0xfb227c573D4598d03370892038F44b5D8a9E9738,Odos V2 Router
0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,KyberSwapRouterV2ContractGuard,0xB4490F03699A004C5Cf389735511d116bEFD9287,KyberSwap V2 Router
0x0D05a7D3448512B78fa8A9e46c4872C88C4a0D05,OdosV3ContractGuard,0xc99490d74B7594c5B6B554071339cd4E27207193,Odos V3 Router
0x111111125421cA6dc452d289314280a0f8842A65,OneInchV6Guard,0xde43a89147E4731d3CF89f090fDD450BeDaEFBF7,OneInch V6 Router
0x888888888889758F76e7103c6CbF23ABbF58F946,PendleRouterV4ContractGuard,0x8E56F552E28c4289081C83350A8840845AC8cF2E,Pendle Router V4
0x3Ef3D8bA38EBe18DB133cEc108f4D14CE00Dd9Ae,AngleDistributorContractGuard,0xf9316d6cB9c1E0bF179D9684D35104ecFBCa58D2,Angle Protocol Distributor - claim rewards
0xbDd84294bC8299861A2121F749A25EFEb7168a32,EasySwapperV2ContractGuard,0x4BeE3976f218bB8Fb069adBA4002112d8A12f720,EasySwapperV2 - allows access to toros pools
