AssetName,Address,AssetType,ChainlinkPriceFeed
Synth sETH,0xE405de8F52ba7559f9df3C368500B6E6ae6Cee49,0,0xA969bEB73d918f6100163Cd0fba3C586C269bee1
Synth sBTC,0x298B9B95708152ff6968aafd889c6586e9169f1D,0,0xc326371d4D866C6Ff522E69298e36Fe75797D358
Synth sLINK,0xc5Db22719A06418028A40A9B5E9A7c02959D0d08,0,0x74d6B50283AC1D651f9Afdc33521e4c1E3332b78
